movie_id	audience_score	critic_score	actor_names	actor_links	synopsis	In Theaters	Genre	Studio	Directed By	Runtime	Box Office	Rating	Written By
Wonderful Town	56%	87%	Anchalee Saisoontorn,Eric D'Agostino,Supphasit Kansen	NA	NA	Oct 8, 2007 wide	Art House & International,Drama	Kino International Corp.	Aditya Assarat	92 minutes	NA	NR	Aditya Assarat
Wonderstruck	60%	67%	Julianne Moore,Michelle Williams,Oakes Fegley,Tom Noonan,Millicent Simmonds,Jaden Michael,Cory Michael Smith,Amy Hargreaves,Morgan Turner,Sawyer Nunes,James Urbaniak,Damian Young,Patrick Murney,Lauren Ridloff,Anthony Natale,Carole Addabbo,Howie Seago,Brian Berrebbi,John McGinty,Mark A. Keeton	NA	NA	Oct 20, 2017 limited	Drama	Amazon Studios and Roadside Attractions	Todd Haynes	117 minutes	$976,561	PG (for thematic elements and smoking)	Brian Selznick
Woodshock	31%	20%	Kirsten Dunst	NA	NA	Sep 22, 2017 limited	Drama	A24 Films	Kate Mulleavy, Laura Mulleavy	101 minutes	$41,126	R (for drug use, language and a scene of violence)	Kate Mulleavy, Laura Mulleavy
Woody Woodpecker	38%	20%	Eric Bauza,Timothy Omundson,Thaila Ayala,Scott McNeil	NA	NA	NA	Animation,Comedy,Kids & Family	Universal Pictures Home Entertainment	Alex Zamm	84 minutes	NA	PG (for some action, rude humor and language)	Alex Zamm, Walter Lantz, William Robertson
Word Wars	66%	89%	Lynn Cushman,Jan Dixon,Rita Norr,Larry Sherman,Laura Klein,Dave Wilson,Mark Morris,Mike Sherman	NA	NA	Jan 1, 2004 wide	Documentary,Drama,Special Interest	Seventh Art Releasing	Eric Chaikin, Julian Petrillo	77 minutes	NA	NR	NA
World of the Dead: The Zombie Diaries 2	18%	0%	Alix Wilton Regan,Philip Brodie,Vicky Araico,Rob Oldfield,Tobias Bowman,Okorie Chuk Wu,Okorie Chukwu,Russell G. Jones,Hiram Bleetman,Toby Nicholas,Josh Myers (II) ,Craig Stovin	NA	NA	Oct 31, 2011 limited	Action & Adventure,Art House & International,Horror	Dimension Films	Kevin Gates, Michael Bartlett	88 minutes	NA	R	Kevin Gates
World Trade Center	60%	68%	Nicolas Cage,Michael Peña,Maggie Gyllenhaal,Maria Bello,Stephen Dorff,Jay Hernandez,Michael Shannon,Jude Ciccolella,Connor Paolo,Anthony Piccininni,Alexa Gerasimovich,Morgan Flynn,Armando Riesco,Viola Davis,Jon Bernthal,Nicholas Turturro,Danny Nucci,Ned Eisenberg,Tyree Simpson,Patti D'Arbanville,Donna Murphy,Dorothy Lyman,William Jimeno,Nick Damici,Martin Pfefferkorn,Nelson Peña,Marcos Palma,Andre Ward,Cliff Bemis,Harmonica Sunbeam,Tawny Cypress,Robert Blanche,Tom Wright,Terry Quinn,Ed Jewett,Maria Helan Checa,Brad William Henke,Nicky Katt,Lucia Brawley,Kimberly Scott,Dara Coleman,Tiffany Marie Romano,Jordan Lage,Gregory Jbara,Wass Stevens,Peter McRobbie,Julie Adams,Tony Genaro,Aixa Maldonado,William Mapother,Arthur J. Nascarella,Frank Whaley	NA	NA	Aug 9, 2006 wide	Drama	Paramount Pictures	Oliver Stone	129 minutes	$70,236,496	PG-13 (for intense and emotional content, some disturbing images and language)	Andrea Berloff
XX	19%	72%	Natalie Brown,Melanie Lynskey,Breeda Wool,Christina Kirk,Sheila Vand,Sanai Victoria,Lindsay Burdge,Jonathan Watton,Peter DaCunha,Peyton Kennedy,Casey Adams,Angela Trimbur,Morgan Krantz,Kyle Allen,Mike Doyle,Brenda Wehle,Morgan Peter Brown,Lisa Renee Pitts,Lisa Costanza,Ruben Pla,Curt Cornelius	NA	NA	Feb 17, 2017 limited	Horror	XYZ Films	Roxanne Benjamin, Annie Clark, Karyn Kusama, Jovanka Vuckovic	81 minutes	$30,611	R (for horror violence, language and brief drug use)	Karyn Kusama, Roxanne Benjamin, Jovanka Vuckovic, Annie Clark
xXx: Return of Xander Cage	38%	45%	Vin Diesel,Donnie Yen,Deepika Padukone,Tony Jaa,Nina Dobrev,Toni Collette,Samuel L. Jackson,Al Sapienza,Rory McCann,Hermione Corfield,Tony Gonzalez,Michael Bisping,Nigel Bennett,Terry Chen,Daniel Kash,Andrey Ivchenko,Shawn Roberts,Kris Wu,Nicky Jam,Neymar,Ariadna Gutierrez-Arevalo,Charles Carroll,Héctor Aníbal,Bailey King,Helena-Alexis Seymour,Pilar Cruz,Megan Soo,Kristen Kurnik,Courtney Friel,Rochelle Harrison,Wayne Ambrose,Everald Bernard,Douglas Fidel Muir,Ermine Gittens,Wayne Macdonald,Rebecca Leung,Ken Tran,Curtis Fletcher,Taylor Thaddeus,Madalena Brancatella,Nick Grimes,Kip Brown,Betty Zhou,Julie Abcede,Jenny Itwaru,Josh Pagcaliwangan,Boris Brown	NA	NA	Jan 20, 2017 wide	Action & Adventure,Drama	Paramount Pictures	D.J. Caruso	110 minutes	$44,850,317	PG-13 (for extended sequences of gunplay and violent action, and for sexual material and language)	NA
Yakuza Apocalypse	39%	61%	Hayato Ichihara,Yahan Ruhian,Rirî Furankî,Lily Franky,Mio Yûki,Denden,Pierre Taki,Tetsu Watanabe,Kiyohiko Shibukawa,Yoshiyuki Morishita,Reiko Takashima,Riko Narumi,Masanori Mimoto,Shô Aoyagi	NA	NA	Oct 9, 2015 limited	Action & Adventure,Art House & International,Comedy,Horror	Backup Media	Takashi Miike	115 minutes	NA	R (for strong bloody violence, a rape and language)	Yoshitaka Yamaguchi
Year One	23%	15%	Jack Black,Michael Cera,Oliver Platt,David Cross,Christopher Mintz-Plasse,Vinnie Jones,Hank Azaria,Juno Temple,Olivia Wilde,June Diane Raphael,Eden Riegel,Xander Berkeley,Gia Carides,Horatio Sanz,David Pasquesi,Matthew J. Willig,Harold Ramis,Rhoda Griffis,Gabriel Sunday,Kyle Gass,Bill Hader,Marshall Manesh,Rion Hunter,Gene Stupnitsky,Lee Eisenberg,Eric Gipson,Lacie Manshack,Weston Hollenshead,Paul Scheer,Matt Besser,Drue Franklin,Joaquin Townsend,Bryan Massey,Mark Cotone,Keet Davis,Tim Hilton,Ashley Nicole Caldwell,Jack Walker,Jamal Sims,Sarah Christine Smith,Kelly Connolly,Michael Morris,Leslie Geldbach,Katherine Miller	NA	NA	Jun 19, 2009 wide	Action & Adventure,Comedy	Sony Pictures	Harold Ramis	97 minutes	$43,337,279	PG-13 (for crude and sexual content throughout, brief strong language and comic violence)	Harold Ramis, Gene Stupnitsky, Lee Eisenberg
Yesterday Was a Lie	81%	83%	Kipleigh Brown,Chase Masterson,John Haymes Newton,Mik Scriba,Nathan Mobley,Warren Davis,Robert Siegel,Jennifer Slimko,Peter Mayhew,Megan Henning	NA	NA	Feb 20, 2009 wide	Drama,Mystery & Suspense,Science Fiction & Fantasy,Romance	Helicon Arts Cooperative	James Kerwin	89 minutes	NA	PG (for language , some violent content and smoking)	James Kerwin
Yogi Bear	34%	13%	Dan Aykroyd,Justin Timberlake,Anna Faris,Tom Cavanagh,T.J. Miller,Nathan Corddry,Josh Robert Thompson,Andrew Daly,David Stott,Greg Johnson,Christy Quillam,Patricia Aldersley,Tim McLachlan,Vernon Hayden,Dean Knowsley,Barry Duffield,Michael Morris,William A. Wallace,Will Wallace,Suzana Srpek	NA	NA	Dec 17, 2010 wide	Action & Adventure,Animation,Comedy,Kids & Family	Warner Bros. Pictures	Eric Brevig	82 minutes	$100,169,068	PG	Joshua Sternin, Jeffrey Ventimilia, Brad Copeland, Josh Sternin, Jeff Ventimilia
Yonkers Joe	50%	55%	Chazz Palminteri,Christine Lahti,Tom Guiry,Linus Roache,Michael Lerner,Michael Rispoli,Roma Maffia,Frank John Hughes,Arthur J. Nascarella,Saverio Guerra,Chad McKnight,Lauri Johnson,Dean Marrazzo,John 'Fastjack' Farrell,Bill Allison	NA	NA	Jan 9, 2009 wide	Drama	Magnolia Pictures	Robert Celestino	102 minutes	NA	R (for language including sexual references.)	Robert Celestino
The Young Black Stallion	68%	45%	Biana Tamimi,Richard Romanus,Biana G. Tamimi,Patrick Elyas,Gerard Rudolf,Gerard Rudolph,Ali Al Ameri,Andries Rossouw,Emma Deetlefs,Silke Bezuidenhout,Bill Lawrence,Stephen Gladstone,Elbrus Outavae,Michelle Mazurkewicz,Biana Tamini	NA	NA	Dec 25, 2003 wide	Drama,Kids & Family	Buena Vista Pictures	Simon Wincer	45 minutes	$6,089,227	G	Jeanne Rosenberg, Steven Farley
Young Man With a Horn	70%	80%	Kirk Douglas,Lauren Bacall,Hoagy Carmichael,Juano Hernandez,Jerome Cowan,Mary Beth Hughes,Nestor Paiva,Orley Lindgren,Walter Reed,Jack Kruschen,Paul E. Burns,Alex Gerry,Jack Shea,Hugh Charles,James Griffith,Dean Reisner,Everett Glass,Dave Dunbar,Robert O'Neill,Julius Wechter,Ivor James,Larry Rio,Dan Seymour,Paul Dubov,Keye Luke,Frank Cady,Dean Riesner,Murray Leonard,Hugh Murray,Dick Cogan,Burk Symon,Katherine Kurasch,Bill Walker,Helene Heigh,Sid Kane,Ted Eckelberry	NA	NA	Feb 9, 1950 wide	Classics,Drama,Musical & Performing Arts,Romance	Warner Home Video	Michael Curtiz	112 minutes	NA	NR	Carl Foreman, Edmund H. North
Il Tuo Vizio è una Stanza Chiusa e Solo Io ne ho la Chiave	66%	100%	Luigi Pistilli,Edwige Fenech	NA	NA	Aug 4, 1972 wide	Art House & International,Drama,Horror,Mystery & Suspense	Lamberto Forni Film (LF)	Sergio Martino	92 minutes	NA	NR	NA
Your Highness	34%	27%	Danny McBride (IV),James Franco,Rasmus Hardiker,Natalie Portman,Toby Jones,Justin Theroux,Zooey Deschanel,Charles Dance,Damian Lewis,Simon Farnaby,Deobia Oparei,B.J. Hogg,Matyelok Gibbs,Angela Pleasence,Anna Barry,Amber Anderson,Stuart Loveridge,John Fricker,Rupert Davis,Julian Rhind-Tutt,Mario Andres Torres,Noah Huntley,Ben Wright,Susie Kelly,Roma Tomelty,Brigid Eric Bates,Eilish Doran,Rene Greig,Kiran Shah,Simon Cohen,Zhaidarbek Junguzhinov,Graham Hughes,Dzhaidarbek Kunguzhinov,Nurlan Altayev,David Garrick,Dorian Dixon,Darren Thompson,David Thompson,Brian Steele,Ben Willbond,Phil Holden,Chris Burke,Sinead Burke,Tobias Winter,Paige Tyler,Rhian Sugden,Amii Grove,Madison Welch,Iga Wyrwal,Charles Shaughnessy	NA	NA	Apr 8, 2011 wide	Comedy	Universal Pictures	David Gordon Green	102 minutes	$21,600,000	R (for strong crude and sexual content, pervasive language, nudity, violence and some drug use)	Ben Best, Danny McBride (IV)
Your Mommy Kills Animals	71%	91%	Jessica Biel,Joe Mantegna,James Cromwell,Kaley Cuoco,Joss Stone,Bo Derek,Gloria Estefan,Jorja Fox,Paul Watson,Katherine Heigl,David Martosko,Christopher Hitchens,Jerry Vlasak,Margot Kidder,Moby,Dana Harris,P.J. O'Rourke	NA	NA	Jul 20, 2007 wide	Documentary,Special Interest	Indie Genius Productions	Curt Johnson	106 minutes	NA	R	Curt Johnson
You Again	43%	17%	Kristen Bell,Jamie Lee Curtis,Sigourney Weaver,Odette Annable,Victor Garber,Betty White,James Wolk,Kristin Chenoweth,Sean Wing,Kyle Bornheimer,Billy Unger,Christine Lakin,Meagan Holder,Patrick Duffy,Anna White,Brytni Sarpy,Gelsey Mahanes,Tammy To,Mimi Karsh,Amye Wilmes,Reginald VelJohnson,Henry G. Sanders,Shanola Hampton,Jenna Leigh Green,Christopher Khai,Ashley Fink,Paul Nygro,Daryl Hall,John Oates,T-Bone Wolk,T-Bone Wolk,Mike Braun,Mike Braun,Charlie Dechant,Zev Katz,Eliot Lewis,Zev Katz,Lisa Valenzuela,Eliot Lewis,L.J. Benet,Amy Reiss,Chambers Stevens,Coby McLaughlin,Coby Ryan McLaughlin,Brittany Wilkinson,Anne Winfree,Catherine Bach,Stacy Keanan,Elwin 'Chopper' David	NA	NA	Sep 24, 2010 wide	Comedy	Touchstone Pictures	Andy Fickman	105 minutes	$25,677,801	PG (for brief mild language and rude behavior)	Moe Jelline
You Got Served	69%	16%	Omari Grandberry,Marques Houston,Omarion,Jarell Houston,Dreux Frederic,DeMario Thornton,Dreux Pierre Frederic,Marty Dew,Jerome Jones,Amanda Rodrigues,La La Anthony,Tanee McCall,Jennifer Nicole Freeman,Malcolm David Kelley,Meagan Good,Steve Harvey,Christopher Jones,Jennifer Nicole,Robert Hoffman (X),Michael "Bear" Taliferro,Esther Scott,Irene Stokes,Dorien Wilson,Juanita Charles,Oscar Orosco,Jackée Harry,Lil' Kim,Wade Robson,Brenda J. Crawford-Bee,Roland Tabor,Dwight Crossfield,Big Nat,Dejai Jeffries,Don Gibbs,Mohamed Moretta,Troy 'DJ Trouble T' Ewing,Donnie Crumbs Counts,Jon 'Do Knock' Crez,Jason 'Easy Rock' Geoffrey,Gabriel 'Wicket' Joachico,Garland Spencer,Allen 'French Twist' Tepper,Ivan "Flipz" Velez,Isaiah Vest,Julie "Jules" Urich,Aminah Abdul-Jillil,Karla Andrade,Keely Armistead,Vai Au-Harehoe,Paulette Azizian,Ryan 'Bosco' Baker,David "Elsewhere" Bernal,Lena Blake,Lindsey Blaufarb,Kenia 'Phoenix' Brown,Anwar 'Flii' Burton,Dante Corde,Jon Do-Knock Cruz,JP De La San Pedro,Joseph De Las Nieves,Amaris Dupree,Teresa Espinosa,Allison Faulk,Kevin Federline,Brian 'Be Free' Friedman,La Keisha Gamble,Jason Geoffrey,Lamonte "Tails" Goode,Dante Harper,Mario Henderson,Marissa Herrera,Richard Jackson,Keith Junior,Mihran Kirakosian,Troy Kirby,Allison Kyler,Arthur 'Il Sweet' Lesure,Destiny Lightsy,Kevin Maher,Jesus Chuck Maldonado,J.D. McElroy,Cliff McGhee,Rocio Mendoza,Cefawne Miller,Michele Molchanov,Rino Nakasone,Mario Navarrette,Nicole Neal,Eisaku Ota,Tomasina Parrott,Henry 'Chopper' Platt,Angela Randle,Jerry 'Flo' Randolph,Lucas Raynaud,Diona Robinson,Columbus Short,Shotyme,Harry Shum Jr.,Roland 'Ro Ro' Tabor,Anthony Talauega,Richmond Talauega,Kevin Tancharoen,Allen Tepper,Michael Vargas,Tyrell Washington,Darrell 'Rhythm' Whitaker,Richard 'Swoop' Whitebear,Kenny Wormald,Russell "Goofy" Wright,Jason Young	NA	NA	Jan 30, 2004 wide	Comedy,Drama,Musical & Performing Arts	Screen Gems Inc.	Chris Stokes	95 minutes	$40,066,497	PG-13 (for thematic elements and sexual references)	Chris Stokes
You May Not Kiss the Bride	34%	0%	Dave Annable,Katharine McPhee,Mena Suvari,Kathy Bates,Rob Schneider,Vinnie Jones,Ken Davitian,Tia Carrere,Kevin Dunn,Jeanne Rogers,Howard Bishop,Theo Coumbis	NA	NA	Sep 21, 2012 limited	Comedy	Freestyle Releasing	Rob Hedden	100 minutes	NA	PG-13 (for sexual material and references, some rude humor and violence)	Rob Hedden
